//Index	ItemIndex   AddHP	AddMP	DamageRate   AttackSpeed   DoubleDmgRate	TripleDmgRate	AddExp	ResistDoubleDmg	ResistIgnoreDefense	ResistIgnoreSD	ResistCriticalDMG	ResistExceDMG	BlockStuck	ReflectRate	PetRecovery	Commnet
1	6856	    1000	2000	40	     50	     	     10			0		0	0		0			0		0			0		0		0		1		//fiercelion							
2	6857	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//fiercelionR							
3	6858	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//Horse_ghost_skin2_skill	
4	6859	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//Horse_ghost_skin3_skill	
5	6860	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//icedragon								
6	6861	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//icedragon_rare					
7	6866	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//dragonpet								
8	6867	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//dragonpet_evol					
9	6868	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//stonepet								
10	6869	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//stonepet_evol						
11	6870	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//mermaidpet							
12	6871	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//mermaidpet_evol					
13	6872	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//satanpet								
14	6873	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//satanpet_evol						
15	6874	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//williumpet							
16	6875	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//williumpet_evol					
17	6876	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//polpet									
18	6877	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//polpet_evol							
19	6878	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//kironpet								
20	6879	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//kironpet_evol						
21	6880	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//wooparoopet							
22	6881	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//wooparoopet_evol				
23	6882	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//wolfpet									
24	6883	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//wolfpet_evol						
25	6884	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//witchpet								
26	6885	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//witchpet_evol						
27	6886	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//skullpet								
28	6887	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//skullpet_evol						
29	6888	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//pumpipet								
30	6889	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//pumpipet_evol						
31	6890	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//sabatpet								
32	6891	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//sabatpet_evol						
33	6892	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//lycanpet								
34	6893	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//lycanpet_evol						
35	6894	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//tobypet									
36	6895	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//tobypet_evol						
37	6896	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//seirenpet								
38	6897	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//seirenpet_evol					
39	6898	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//behemothpet							
40	6899	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//behemothpet_evol				
41	6900	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//loglepet								
42	6901	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//loglepet_evol						
43	6902	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//minopet									
44	6903	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//minopet_evol						
45	6904	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//houndpet								
46	6905	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//houndpet_evol						
47	6906	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//tribepet								
48	6907	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//tribepet_evol						
49	6908	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//bogeonpet								
50	6909	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//bogeonpet_evol					
51	6910	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//cyclopspet							
52	6911	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//cyclopspet_evol					
53	6912	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//rippenpet								
54	6913	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//rippenpet_evol					
end
