//Group    DayOfWeek    Hour    Minute    Text Index in client
// Illusion Temple
0          *            17      30        1
// Cry Wolf
1          *            19      0         2
// Epic Dragon
2          *            22      0         3
// Medusa
3          *            9       0         4
3          *            21      0         4
// Ice Golem
4          *            0      45         5
4          *            8      45         5
4          *            16     45         5
// Gold Invasion
5          *            00     25         6
5          *            4      25         6
5          *            8      25         6
5          *            12     25         6
5          *            16     25         6
5          *            20     25         6
// Blood Castle
6          *            0       0         7
6          *            2       0         7
6          *            4       0         7
6          *            6       0         7
6          *            8       0         7
6          *            10      0         7
6          *            12      0         7
6          *            14      0         7
6          *            16      0         7
6          *            18      0         7
6          *            20      0         7
6          *            22      0         7
// Chaos Castle
7          *            1       0         8
7          *            3       0         8
7          *            5       0         8
7          *            7       0         8
7          *            9       0         8
7          *            11      0         8
7          *            13      0         8
7          *            15      0         8
7          *            17      0         8
7          *            19      0         8
7          *            21      0         8
7          *            23      0         8
// Devil Square
8          *            0       30        9
8          *            4       30        9
8          *            8       30        9
8          *            12      30        9
8          *            16      30        9
8          *            20      30        9
// White Wizard
9         *            0       50       10
9         *            4       50       10
9         *            8       50       10
9         *            12      50       10
9         *            16      50       10
9         *            20      50       10
// Red Dragon
10         *            0       15       11
10         *            4       15       11
10         *            8       15       11
10         *            12      15       11
10         *            16      15       11
10         *            20      15       11
// Skeleton King
11         *            0       05       12
11         *            4       05       12
11         *            8       05       12
11         *            12      05       12
11         *            16      05       12
11         *            20      05       12
// Castle Siege
12         2            20       0       0
end
