//Index   Name                    RequireMoney   MinLevel   MaxLevel   MinReset   MaxReset   AccountLevel   Gate
40        "Silent"	  	  10000          10         400       *          *          0              345
1         "Arena"                 2000           200        1000       *          *          0              50
97        "Stadium"               2000           200        1000       *          *          0              51
2         "Lorencia"              2000           10         1000       *          *          0              17
3         "Noria"                 2000           10         1000       *          *          0              27
31        "Elbeland"              2000           10         1000       *          *          0              267
32        "Elbeland2"             2500           20         1000       *          *          0              268
43        "Elbeland3"             3000           30         1000       *          *          0              269
8         "Dungeon"               3000           30         1000       *          *          0              2
9         "Dungeon2"              3500           40         1000       *          *          0              6
10        "Dungeon3"              4000           50         1000       *          *          0              10
4         "Devias"                2000           20         1000       *          *          0              22
5         "Devias2"               2500           30         1000       *          *          0              72
6         "Devias3"               3000           40         1000       *          *          0              73
7         "Devias4"               3500           45         1000       *          *          0              74
11        "Atlans"                4000           70         1000       *          *          0              49
12        "Atlans2"               4500           80         1000       *          *          0              75
13        "Atlans3"               5000           90         1000       *          *          0              76
14        "LostTower"             5000           50         1000       *          *          0              42
15        "LostTower2"            5500           60         1000       *          *          0              31
16        "LostTower3"            6000           70         1000       *          *          0              33
17        "LostTower4"            6500           80         1000       *          *          0              35
18        "LostTower5"            7000           90         1000       *          *          0              37
19        "LostTower6"            7500           100        1000       *          *          0              39
20        "LostTower7"            8000           110        1000       *          *          0              41
21        "Tarkan"                8000           140        1000       *          *          0              57
22        "Tarkan2"               8500           160        1000       *          *          0              77
25        "Aida1"                 8500           150        1000       *          *          0              119
27        "Aida2"                 8500           170        1000       *          *          0              140
23        "Icarus"                10000          170        1000       *          *          0              63
26        "Crywolf"               10000          190        1000       *          *          0              118
28        "Kanturu_ruin1"         9000           170        1000       *          *          0              138
29        "Kanturu_ruin2"         9000           190        1000       *          *          0              141
45        "Kanturu_ruin_island"   15000          210        1000       *          *          0              334
30        "Kanturu_Remain"        12000          230        1000       *          *          0              139
46        "Karutan1"              13000          200        1000       *          *          0              335
47        "Karutan2"              14000          220        1000       *          *          0              344
34        "Raklion"               15000          280        1000       *          *          0              287
33        "Swamp_of_Calmness"     15000          400        1000       *          *          0              273
42        "Vulcanus"              15000          300        1000       *          *          0              294
24        "LorenDeep"             10000          350        1000       *          *          0              94
41        "Barrack"               10000          400        1000       *          *          0              256
end
